x,y,z
1.400,1.613,0.105
1.400,1.386,0.85
1.400,1.198,0.84
1.400,1.008,0.90
1.400,0.720,0.91
1.400,0.533,0.98
1.400,0.360,0.104
1.400,0.138,0.115
1.242,1.613,0.91
1.242,1.386,0.86
1.242,1.198,0.82
1.242,1.008,0.84
1.242,0.720,0.88
1.242,0.533,0.82
1.242,0.36,0.103
1.242,0.138,0.108
1.106,1.613,0.103
1.106,1.386,0.96
1.106,1.198,0.92
1.106,1.008,0.63
1.106,0.720,0.84
1.106,0.533,0.115
1.106,0.36,0.108
1.106,0.138,0.93
1.321,1.490,0.115
1.321,1.295,0.89
1.321,1.100,0.89
1.321,0.915,0.99
1.321,0.820,0.95
1.321,0.620,0.102
1.321,0.445,0.110
1.321,0.275,0.120
1.174,1.490,0.102
1.174,1.295,0.95
1.174,1.100,0.88
1.174,0.915,0.94
1.174,0.820,0.94
1.174,0.620,0.102
1.174,0.445,0.127
1.174,0.275,0.120
